Name,Smile,Activity,Path
CHEMBL1824506,COc1ccc(N(C)c2nc(C)nc3c2CC(C)C3)cc1.Cl,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL1824506.png
CHEMBL4517579,CC(C)(O)[C@H]1CC[C@@](C)([C@H]2CC[C@]3(C)[C@@H]2[C@H](O)C[C@@H]2[C@@]4(C)CC[C@H](N)C(C)(C)[C@@H]4CC[C@]23C)O1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4517579.png
CHEMBL4565305,CC(C)(C)OC(=O)NCCCCCC(=O)N[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2C[C@@H](O)[C@@H]2[C@@H]([C@]4(C)CC[C@H](C(C)(C)O)O4)CC[C@]23C)C1(C)C,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4565305.png
CHEMBL1087138,COc1ccc(C(C#N)(CCCNCc2c3ccccc3cc3ccccc23)C(C)C)cc1OC,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL1087138.png
CHEMBL2059236,O=C(c1ccccc1)c1ccccc1OCC(O)CN1CCN(CC(O)COc2ccccc2C(=O)c2ccccc2)CC1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL2059236.png
CHEMBL2316443,COc1cc(C#CC(=O)O[C@H]2CC[C@@H](N(C)[C@H]3CC[C@@H](OC(=O)C4c5ccccc5-c5ccccc54)CC3)CC2)cc(OC)c1OC,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL2316443.png
CHEMBL4446420,Cc1cc(C)c(-c2cc(NC(=O)CSc3cccc(NC(=O)c4cncc(Br)c4)c3)n(-c3ccccc3)n2)cc1C,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4446420.png
CHEMBL344278,O=C(CCc1ccccc1)c1ccccc1OCC(O)CN1CCC(O)(c2ccccc2)CC1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL344278.png
CHEMBL344278,O=C(CCc1ccccc1)c1ccccc1OCC(O)CN1CCC(O)(c2ccccc2)CC1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL344278.png
CHEMBL444172,O[C@@H](COc1cccc2ncccc12)CN1CCN([C@@H]2c3ccccc3[C@@H]3[C@H](c4ccccc42)C3(F)F)CC1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL444172.png
CHEMBL3233505,COc1cc(/C=C/C=C/C(=O)c2cccc(C(=O)/C=C/C=C/c3cc(OC)c(OC)c(OC)c3)c2)cc(OC)c1OC,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL3233505.png
CHEMBL1643345,COc1cc(C#CC(=O)O[C@H]2CC[C@H](N(C)[C@H]3CC[C@H](OC(=O)c4cc(OC)c(OC)c(OC)c4)CC3)CC2)cc(OC)c1OC,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL1643345.png
CHEMBL1643346,COc1cc(C#CC(=O)O[C@H]2CC[C@@H](N(C)[C@H]3CC[C@@H](OC(=O)c4cc(OC)c(OC)c(OC)c4)CC3)CC2)cc(OC)c1OC,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL1643346.png
CHEMBL2316434,COc1cc(/C=C/C(=O)O[C@H]2CC[C@H](N(C)[C@H]3CC[C@H](OC(=O)C4c5ccccc5-c5ccccc54)CC3)CC2)cc(OC)c1OC,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL2316434.png
CHEMBL1643344,COc1cc(C#CC(=O)O[C@H]2CC[C@H](N(C)[C@H]3CC[C@@H](OC(=O)c4cc(OC)c(OC)c(OC)c4)CC3)CC2)cc(OC)c1OC,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL1643344.png
CHEMBL2058782,Cc1cccc(N2CCN(CC(O)COc3ccccc3C(=O)c3ccccc3)CC2)c1C,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL2058782.png
CHEMBL2316432,COc1ccc(C(C#N)(CCC(=O)O[C@H]2CC[C@@H](N(C)[C@H]3CC[C@H](OC(=O)/C=C/c4cc(OC)c(OC)c(OC)c4)CC3)CC2)C(C)C)cc1OC,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL2316432.png
CHEMBL2316433,COc1cc(/C=C/C(=O)O[C@H]2CC[C@@H](N(C)[C@H]3CC[C@H](OC(=O)C4c5ccccc5-c5ccccc54)CC3)CC2)cc(OC)c1OC,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL2316433.png
CHEMBL272423,COc1cccc(CCc2ccccc2NCc2cccc(OC)c2OC)c1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL272423.png
CHEMBL1641620,COc1cc(/C=C/C(=O)O[C@H]2CC[C@H](N(C)[C@H]3CC[C@@H](OC(=O)c4cc(OC)c(OC)c(OC)c4)CC3)CC2)cc(OC)c1OC,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL1641620.png
CHEMBL4077753,COc1cc(C(=O)NC(c2nc(C(=O)NC3CCC(F)(F)CC3)cs2)C(C)C)cc(OC)c1OC,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4077753.png
CHEMBL2316439,COc1ccc(C(C(=O)O[C@H]2CC[C@@H](N(C)[C@H]3CC[C@@H](OC(=O)C#Cc4cc(OC)c(OC)c(OC)c4)CC3)CC2)c2ccc(OC)cc2)cc1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL2316439.png
CHEMBL2316441,COc1cc(C#CC(=O)O[C@H]2CC[C@@H](N(C)[C@H]3CC[C@H](OC(=O)C4c5ccccc5-c5ccccc54)CC3)CC2)cc(OC)c1OC,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL2316441.png
CHEMBL3233503,COc1cc(C(=O)/C=C/c2cccc(/C=C/C(=O)c3cc(OC)c(OC)c(OC)c3)c2)cc(OC)c1OC,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL3233503.png
CHEMBL2316437,COc1ccc(C(C(=O)O[C@H]2CC[C@H](N(C)[C@H]3CC[C@@H](OC(=O)C#Cc4cc(OC)c(OC)c(OC)c4)CC3)CC2)c2ccc(OC)cc2)cc1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL2316437.png
CHEMBL2220507,COc1cc2c(cc1OC)C(=O)/C(=C/c1ccc(N(C)C)cc1)C2,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL2220507.png
CHEMBL4517579,CC(C)(O)[C@H]1CC[C@@](C)([C@H]2CC[C@]3(C)[C@@H]2[C@H](O)C[C@@H]2[C@@]4(C)CC[C@H](N)C(C)(C)[C@@H]4CC[C@]23C)O1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4517579.png
CHEMBL3233502,COc1ccc(C(=O)/C=C/c2cccc(/C=C/C(=O)c3ccc(OC)c(OC)c3)c2)cc1OC,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL3233502.png
CHEMBL2316430,COc1ccc(C(C#N)(CCC(=O)O[C@H]2CC[C@H](N(C)[C@H]3CC[C@H](OC(=O)/C=C/c4cc(OC)c(OC)c(OC)c4)CC3)CC2)C(C)C)cc1OC,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL2316430.png
CHEMBL2316438,COc1ccc(C(C(=O)O[C@H]2CC[C@H](N(C)[C@H]3CC[C@H](OC(=O)C#Cc4cc(OC)c(OC)c(OC)c4)CC3)CC2)c2ccc(OC)cc2)cc1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL2316438.png
CHEMBL3233504,COc1cc(/C=C/C(=O)c2cccc(C(=O)/C=C/c3cc(OC)c(OC)c(OC)c3)c2)cc(OC)c1OC,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL3233504.png
CHEMBL486337,COc1cccc(CCc2ccccc2OCCCN2CCc3cc(OC)c(OC)cc3C2)c1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL486337.png
CHEMBL3233496,COc1cc2c(cc1OC)C(=O)/C(=C/C=C/c1cc(OC)c(OC)c(OC)c1)CC2,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL3233496.png
CHEMBL148318,O=C(c1ccccc1)c1ccccc1OCC(O)CN1CCN(c2ccc(F)cc2)CC1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL148318.png
CHEMBL2316431,COc1ccc(C(C#N)(CCC(=O)O[C@H]2CC[C@@H](N(C)[C@H]3CC[C@@H](OC(=O)/C=C/c4cc(OC)c(OC)c(OC)c4)CC3)CC2)C(C)C)cc1OC,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL2316431.png
CHEMBL2316436,COc1cc(/C=C/C(=O)O[C@H]2CC[C@H](N(C)[C@H]3CC[C@@H](OC(=O)C4c5ccccc5-c5ccccc54)CC3)CC2)cc(OC)c1OC,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL2316436.png
CHEMBL4469705,Cc1cc(C)c(-c2cc(NC(=O)CSCC(=O)Nc3ccc4ccccc4c3)n(-c3ccccc3)n2)cc1C,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4469705.png
CHEMBL4553676,Cc1cc(C)c(-c2cc(NC(=O)CSCC(=O)NC(c3ccccc3)c3ccccc3)n(-c3ccccc3)n2)cc1C,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4553676.png
CHEMBL4557604,Cc1cc(C)c(-c2cc(NC(=O)CSCC(=O)N3c4ccccc4CCc4ccccc43)n(-c3ccccc3)n2)cc1C,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4557604.png
CHEMBL2058783,Cc1cccc(N2CCN(CC(O)COc3cccc(C(=O)c4ccccc4)c3)CC2)c1C,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL2058783.png
CHEMBL4526913,Cc1cc(C)c(-c2cc(NC(=O)CSCC(=O)Nc3ccc4ncsc4c3)n(-c3ccccc3)n2)cc1C,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4526913.png
CHEMBL1790683,CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]([C@@H](C)CC)OC(=O)C(=C(C)C)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C1=O,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL1790683.png
CHEMBL2316435,COc1cc(/C=C/C(=O)O[C@H]2CC[C@@H](N(C)[C@H]3CC[C@@H](OC(=O)C4c5ccccc5-c5ccccc54)CC3)CC2)cc(OC)c1OC,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL2316435.png
CHEMBL272036,COc1cccc(CCc2ccccc2NCc2ccc(OC)c(OC)c2)c1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL272036.png
CHEMBL4568985,COc1cc(NC(=O)CSCC(=O)Nc2cc(-c3cc(C)c(C)cc3C)nn2-c2ccccc2)cc(OC)c1OC,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4568985.png
CHEMBL485727,COc1cccc(CCc2ccccc2OCCCCN2CCc3cc(OC)c(OC)cc3C2)c1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL485727.png
CHEMBL1200633,CC[C@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2.CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(C)=C/C[C@@H]4C[C@@H](C[C@]5(CC[C@H](C)[C@@H](C(C)C)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@@]45O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL1200633.png
CHEMBL2059231,Cc1ccccc1N1CCN(CC(O)COc2cccc(C(=O)c3ccccc3)c2)CC1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL2059231.png
CHEMBL1253372,CC(C)(C)OC(=O)[C@H](CCCCNC(=O)OCc1ccccc1)NC[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)OC(C)(C)C,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL1253372.png
CHEMBL515247,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)COc3ccccc3[N+](=O)[O-])cc1)CC2,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL515247.png
CHEMBL4552725,Cc1cc(C)c(-c2cc(NC(=O)CSCC(=O)NC34CC5CC(CC(C5)C3)C4)n(-c3ccccc3)n2)cc1C,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4552725.png
CHEMBL444075,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccccc3NC(=O)c3cnc4ccccc4c3)cc1)CC2,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL444075.png
CHEMBL2316429,COc1ccc(C(C#N)(CCC(=O)O[C@H]2CC[C@H](N(C)[C@H]3CC[C@@H](OC(=O)/C=C/c4cc(OC)c(OC)c(OC)c4)CC3)CC2)C(C)C)cc1OC,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL2316429.png
CHEMBL258610,COc1cccc(CCc2ccccc2OCc2cccc(OC)c2OC)c1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL258610.png
CHEMBL4476464,Cc1cc(C)c(-c2cc(NC(=O)CSCC(=O)c3ccc4c(c3)Cc3ccccc3-4)n(-c3ccccc3)n2)cc1C,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4476464.png
CHEMBL2316444,COc1cc(C#CC(=O)O[C@H]2CC[C@H](N(C)[C@H]3CC[C@@H](OC(=O)C4c5ccccc5-c5ccccc54)CC3)CC2)cc(OC)c1OC,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL2316444.png
CHEMBL3339300,COc1cc(/C=C/C(=O)OCCCCCN(C)CCCOC(=O)c2c3ccccc3cc3ccccc23)cc(OC)c1OC,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL3339300.png
CHEMBL148260,O=C(c1ccccc1)c1ccccc1OCC(O)CN1CCC(O)(c2ccccc2)CC1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL148260.png
CHEMBL475362,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)Nc3ccccc3[N+](=O)[O-])cc1)CC2,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL475362.png
CHEMBL631,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL631.png
CHEMBL4099533,CC(C)(C)OC(=O)c1cccc(Nc2nc(-c3ccncc3)nc3ccccc23)c1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4099533.png
CHEMBL247473,COc1ccc(C(=O)Nc2ccccc2C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1OC,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL247473.png
CHEMBL1643343,COc1cc(CCC(=O)O[C@H]2CC[C@@H](N(C)[C@H]3CC[C@H](OC(=O)c4cc(OC)c(OC)c(OC)c4)CC3)CC2)cc(OC)c1OC,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL1643343.png
CHEMBL4639635,COc1cc(C[C@H]2CN3C[C@@H]4[C@@H](c5ccccc5)c5c(cc6c(c5OC)OCO6)[C@@H]4[C@H]3CN2C(C)=O)cc2c1OCO2,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4639635.png
CHEMBL519547,COc1cccc(CCc2ccccc2OCCCCCN2CCc3cc(OC)c(OC)cc3C2)c1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL519547.png
CHEMBL1790680,CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]([C@@H](C)CC)OC(=O)C(C(C)(C)O)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C1=O,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL1790680.png
CHEMBL2059235,Cc1ccc(NC(=S)N2CCN(CC(O)COc3ccccc3C(=O)c3ccccc3)CC2)cc1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL2059235.png
CHEMBL1790681,CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]([C@@H](C)CC)OC(=O)[C@@H](C(C)(C)O)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C1=O,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL1790681.png
CHEMBL4648775,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)/C=C/c3ccc(Oc4ccc(-c5cccnc5)cc4)nc3)cc1)CC2,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4648775.png
CHEMBL2074901,COc1cc(OC)c2c(=O)cc(-c3cc(OC)c(OC)c(OC)c3)oc2c1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL2074901.png
CHEMBL3809417,COc1ccc(/C=C/C(=O)c2cccc(Nc3ncnc4ccccc34)c2)cc1OC,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL3809417.png
CHEMBL4437065,Cc1cc(C)c(-c2cc(NC(=O)CSc3nnc4c(n3)[nH]c3ccccc34)n(-c3ccccc3)n2)cc1C,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4437065.png
CHEMBL411951,O=C(Nc1ccc(CCN2CCc3ccccc3C2)cc1)c1cnc2ccccc2c1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL411951.png
CHEMBL3883590,CCCc1ccc(C(=O)Nc2ccccc2-c2nnn(-c3ccc(O)cc3)n2)cc1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL3883590.png
CHEMBL428402,O=C(Nc1ccccc1C(=O)Nc1ccc(CCN2CCc3ccccc3C2)cc1)c1cnc2ccccc2c1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL428402.png
CHEMBL4438522,Cc1cc(C)c(-c2cc(NC(=O)CSCC(=O)NCc3ccc(F)cc3)n(-c3ccccc3)n2)cc1C,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4438522.png
CHEMBL258882,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cnc4ccccc4n3)cc1)CC2,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL258882.png
CHEMBL2059234,Cc1ccc(NC(=O)N2CCN(CC(O)COc3ccccc3C(=O)c3ccccc3)CC2)cc1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL2059234.png
CHEMBL3809802,COc1ccc(/C=C/C(=O)c2cccc(Nc3nc(-c4ccc(OC)c(OC)c4)nc4ccccc34)c2)cc1OC,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL3809802.png
CHEMBL4641044,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)/C=C/c3ccc(Oc4ccc(-c5ccccn5)c(C)c4)nc3)cc1)CC2,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL4641044.png
CHEMBL2059232,Cc1ccccc1N1CCN(CC(O)COc2ccc(C(=O)c3ccccc3)cc2)CC1,1,G:\Python\Predicting-the-P-glycoprotein-inhibitor\dataset\images\CHEMBL2059232.png
